track,artist,album
Son Bir Defa,Paptircem,Son Bir Defa
Son Sabah,mor ve ötesi,Güneşi Beklerken
Son Seslenişim,Yüzyüzeyken Konuşuruz,Son Seslenişim
Söz Bitti,Sertab Erener,Turuncu
SPACE MAN,Sam Ryder,SPACE MAN
Sparks,Coldplay,Parachutes
Spies,Coldplay,Parachutes
Summertime Sadness,Lana Del Rey,Born To Die (Deluxe Version)
Sunflower,Tamino,Sahar
Sun May Shine,Tamino,Amir
Tamam mıyız,Sıla,Yeni Ay
Ta Uzak Yollardan,Nilüfer,Sensiz Olmaz
Tek Başına,Nilüfer,Geceler
Teselli,Candan Erçetin,Çapkın
Therapy Session,NF,Therapy Session
Toprak Yağmura (Akustik),Canozan,Dolunay
Topsuz Tüfeksiz,Merve Özbey,Yaş Hikayesi
Total Eclipse of the Heart,Bonnie Tyler,The Very Best of Bonnie Tyler
Tout l'univers,Gjon's Tears,Tout l'univers
traitor,Olivia Rodrigo,SOUR
Trouble,Coldplay,Parachutes
Tükeneceğiz,Sezen Aksu,Sen Ağlama
Turning Tables,Adele,21
Uçurumlar,No.1,Kron1k
Unutama Beni,Candan Erçetin,Kırık Kalpler Durağında
Unut Dediler,Göksel,Yollar
Unuttun mu Beni,Sezen Aksu,Öptüm
Unutulmaz,Mirkelam,Unutulmaz
Uramaki,Mahmood,Gioventù Bruciata
Uyan Ali'm,Ezginin Günlügü,İlk Aşk
Uykumun Boynunu Bükme,Melike Şahin,Merhem
Uzaktan,Sedef Sebüktekin,Uzaktan
Üzülmedin mi?,Simge,Üzülmedin mi?
Uzun Lafın Kısası,Ozan Doğulu,130 Bpm Forte
Vay,Sezen Aksu,Öptüm
Vazgeçtim,Sezen Aksu,Gülümse
Vazgeçtim,Yıldız Tilbe,Dillere Destan
Vicdanın Affetsin,Merve Özbey,Yaş Hikayesi
Video Games,Lana Del Rey,Born To Die (Deluxe Version)
Voilà,Barbara Pravi,Voilà
Vursalar Ölemem,Melek Mosso,Vursalar Ölemem
Vurulduk,Sertab Erener,Sakin Ol
Vur Yüreğim,Sertab Erener,Sertab Erener
Vuslat,Karsu,Karsu
We Never Change,Coldplay,Parachutes
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
